sample_idx,tree_idx,context
0,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
0,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
0,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
0,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
0,4,000000 000010 1 100 1000 10000 100000 100010 10010 1010
0,5,000000 00010 1 100 1000 10000 100000 10010 1010
0,6,000000 1 10 100 1000 10000 100000
0,7,00 1 10
0,8,0 1
1,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
1,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
1,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
1,3,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000
1,4,000 000010 000100 1 100010 10010 100100 1010 10100
1,5,000 000100 1 10 100100 10100
1,6,000 00100 1 10 10100
1,7,00 1 10
1,8,0 1
2,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
2,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
2,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
2,3,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
2,4,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010
2,5,00000 000010 001010 1 100 1000 10000 100010 10010 101010
2,6,0000 000010 001010 1 100 1000 100010 10010 101010
2,7,0000 00010 001010 1 100 1000 10010 101010
2,8,0000 0010 001010 1 100 1000 101010
2,9,000 0010 001010 1 100 101010
2,10,00 0010 001010 1 101010
2,11,00 1 10
2,12,0 1
3,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
3,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
3,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
3,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010
3,4,000 000010 001010 1 100 100010 10010 101010
3,5,000 000010 1 100 100010 10010 1010
3,6,000 1 10 100
3,7,00 1 10
3,8,0 1
4,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
4,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
4,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
4,3,000 000010 000100 001010 1 100010 10010 100100 10100 101010
4,4,00 000010 001010 1 100010 10010 101010
4,5,00 0010 001010 1 101010
4,6,00 1 10
4,7,0 1
5,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
5,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
5,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
5,3,00000 000010 001000 1 100 10000 100010 10010 1010 101000
5,4,00000 001000 1 10 100 10000 101000
5,5,00000 1 10 100 1000 10000
5,6,00 1 10
5,7,0 1
6,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
6,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
6,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
6,3,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000
6,4,000000 000010 1 100 1000 10000 100000 100010 10010 1010
6,5,000000 1 10 100 1000 10000 100000
6,6,00 1 10
6,7,0 1
7,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
7,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
7,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
7,3,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010
7,4,000 000010 00100 001010 1 100010 10010 10100 101010
7,5,00 000010 001010 1 100010 10010 101010
7,6,00 0010 001010 1 101010
7,7,00 0010 1 1010
7,8,00 1 10
7,9,0 1
8,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
8,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
8,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
8,3,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
8,4,000000 0010 001000 001010 1 100 10000 100000 101000 101010
8,5,000000 0010 001010 1 100 1000 10000 100000 101010
8,6,000000 0010 1 100 1000 10000 100000 1010
8,7,00 0010 1 1010
8,8,00 1 10
8,9,0 1
9,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
9,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
9,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
9,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
9,4,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100
9,5,000000 000100 0010 1 1000 10000 100000 100100 1010 10100
9,6,000000 000100 1 10 1000 10000 100000 100100 10100
9,7,00000 000100 1 10 1000 10000 100100 10100
9,8,00000 1 10 100 1000 10000
9,9,0000 1 10 100 1000
9,10,00 1 10
9,11,0 1
10,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
10,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
10,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010
10,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010
10,4,00000 00010 00100 001000 1 10000 10010 1010 10100 101000
10,5,00000 0010 00100 001000 1 10000 1010 10100 101000
10,6,00000 0010 001000 1 100 10000 1010 101000
10,7,00000 001000 1 10 100 10000 101000
10,8,00000 1 10 100 1000 10000
10,9,00 1 10
10,10,0 1
11,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
11,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
11,2,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010
11,3,00000 0010 00100 001000 001010 1 10000 10100 101000 101010
11,4,00000 0010 001000 001010 1 100 10000 101000 101010
11,5,0000 0010 001000 001010 1 100 101000 101010
11,6,0000 001000 1 10 100 101000
11,7,0000 1 10 100 1000
11,8,00 1 10
11,9,0 1
12,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
12,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
12,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
12,3,0000 000010 000100 001010 1 1000 100010 10010 100100 10100 101010
12,4,0000 000010 00100 001010 1 1000 100010 10010 10100 101010
12,5,0000 000010 001010 1 100 1000 100010 10010 101010
12,6,0000 0010 001010 1 100 1000 101010
12,7,00 0010 001010 1 101010
12,8,00 1 10
12,9,0 1
13,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
13,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
13,2,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010
13,3,00000 000010 001010 1 100 1000 10000 100010 10010 101010
13,4,0000 000010 001010 1 100 1000 100010 10010 101010
13,5,000 000010 001010 1 100 100010 10010 101010
13,6,000 000010 1 100 100010 10010 1010
13,7,00 000010 1 100010 10010 1010
13,8,00 1 10
13,9,0 1
14,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
14,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
14,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
14,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000
14,4,0000 000010 00100 001000 1 100010 10010 1010 10100 101000
14,5,0000 000010 00100 1 1000 100010 10010 1010 10100
14,6,0000 0010 00100 1 1000 1010 10100
14,7,0000 00100 1 10 1000 10100
14,8,0000 1 10 100 1000
14,9,000 1 10 100
14,10,00 1 10
14,11,0 1
15,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
15,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
15,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010
15,3,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
15,4,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
15,5,000000 00100 1 10 1000 10000 100000 10100
15,6,000 00100 1 10 10100
15,7,00 1 10
15,8,0 1
16,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
16,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
16,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
16,3,00000 0010 00100 001000 001010 1 10000 10100 101000 101010
16,4,00000 00100 001000 1 10 10000 10100 101000
16,5,00000 001000 1 10 100 10000 101000
16,6,00000 1 10 100 1000 10000
16,7,00 1 10
16,8,0 1
17,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
17,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
17,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
17,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
17,4,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010
17,5,000000 000010 1 100 1000 10000 100000 100010 10010 1010
17,6,000000 1 10 100 1000 10000 100000
17,7,00 1 10
17,8,0 1
18,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
18,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
18,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
18,3,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000
18,4,0000 000100 001000 1 10 100100 10100 101000
18,5,0000 00100 001000 1 10 10100 101000
18,6,000 00100 1 10 10100
18,7,00 1 10
18,8,0 1
19,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
19,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
19,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
19,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010
19,4,00000 00010 001000 001010 1 100 10000 10010 101000 101010
19,5,00000 00010 001010 1 100 1000 10000 10010 101010
19,6,00000 00010 1 100 1000 10000 10010 1010
19,7,00 00010 1 10010 1010
19,8,00 1 10
19,9,0 1
20,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
20,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
20,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
20,3,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100
20,4,00000 00010 000100 1 1000 10000 10010 100100 1010 10100
20,5,00000 00010 00100 1 1000 10000 10010 1010 10100
20,6,00000 00010 1 100 1000 10000 10010 1010
20,7,00 00010 1 10010 1010
20,8,00 1 10
20,9,0 1
21,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
21,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
21,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
21,3,0000 000010 00100 001000 001010 1 100010 10010 10100 101000 101010
21,4,0000 00010 00100 001000 001010 1 10010 10100 101000 101010
21,5,0000 00010 00100 001000 1 10010 1010 10100 101000
21,6,0000 00010 001000 1 100 10010 1010 101000
21,7,0000 00010 1 100 1000 10010 1010
21,8,00 00010 1 10010 1010
21,9,00 0010 1 1010
21,10,00 1 10
21,11,0 1
22,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
22,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
22,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
22,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
22,4,000 000010 000100 1 100010 10010 100100 1010 10100
22,5,000 000010 1 100 100010 10010 1010
22,6,000 1 10 100
22,7,00 1 10
22,8,0 1
23,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
23,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
23,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
23,3,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
23,4,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
23,5,000000 0010 001010 1 100 1000 10000 100000 101010
23,6,000000 0010 1 100 1000 10000 100000 1010
23,7,000000 1 10 100 1000 10000 100000
23,8,000 1 10 100
23,9,00 1 10
23,10,0 1
24,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
24,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
24,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
24,3,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010
24,4,000000 00010 00100 001010 1 1000 10000 100000 10010 10100 101010
24,5,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
24,6,000000 0010 001010 1 100 1000 10000 100000 101010
24,7,000000 1 10 100 1000 10000 100000
24,8,00 1 10
24,9,0 1
25,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
25,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
25,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
25,3,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010
25,4,0000 000010 001000 001010 1 100 100010 10010 101000 101010
25,5,0000 0010 001000 001010 1 100 101000 101010
25,6,0000 001000 1 10 100 101000
25,7,00 1 10
25,8,0 1
26,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
26,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
26,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
26,3,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
26,4,00000 000010 001000 1 100 10000 100010 10010 1010 101000
26,5,0000 000010 001000 1 100 100010 10010 1010 101000
26,6,0000 001000 1 10 100 101000
26,7,000 1 10 100
26,8,0 1
27,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
27,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
27,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
27,3,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000
27,4,000000 00100 001000 1 10 10000 100000 10100 101000
27,5,0000 00100 001000 1 10 10100 101000
27,6,0000 001000 1 10 100 101000
27,7,00 1 10
27,8,0 1
28,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
28,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
28,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
28,3,00000 00010 000100 001010 1 1000 10000 10010 100100 10100 101010
28,4,000 00010 000100 001010 1 10010 100100 10100 101010
28,5,000 000100 0010 001010 1 100100 10100 101010
28,6,000 000100 1 10 100100 10100
28,7,00 1 10
28,8,0 1
29,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
29,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
29,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
29,3,0000 000100 0010 001000 001010 1 100100 10100 101000 101010
29,4,0000 000100 0010 001010 1 1000 100100 10100 101010
29,5,0000 000100 1 10 1000 100100 10100
29,6,0000 00100 1 10 1000 10100
29,7,0000 1 10 100 1000
29,8,00 1 10
29,9,0 1
30,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
30,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
30,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
30,3,000000 00010 001000 001010 1 100 10000 100000 10010 101000 101010
30,4,000000 0010 001000 001010 1 100 10000 100000 101000 101010
30,5,000000 001000 1 10 100 10000 100000 101000
30,6,000000 1 10 100 1000 10000 100000
30,7,00 1 10
30,8,0 1
31,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
31,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
31,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
31,3,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000
31,4,000000 000100 0010 1 1000 10000 100000 100100 1010 10100
31,5,000000 000100 1 10 1000 10000 100000 100100 10100
31,6,000 000100 1 10 100100 10100
31,7,000 1 10 100
31,8,00 1 10
31,9,0 1
32,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
32,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
32,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
32,3,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000
32,4,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000
32,5,00000 0010 00100 001000 1 10000 1010 10100 101000
32,6,00000 0010 001000 1 100 10000 1010 101000
32,7,00000 0010 1 100 1000 10000 1010
32,8,000 0010 1 100 1010
32,9,000 1 10 100
32,10,00 1 10
32,11,0 1
33,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
33,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
33,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
33,3,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010
33,4,00000 00010 000100 001010 1 1000 10000 10010 100100 10100 101010
33,5,00000 000100 0010 001010 1 1000 10000 100100 10100 101010
33,6,00000 000100 0010 1 1000 10000 100100 1010 10100
33,7,00000 0010 1 100 1000 10000 1010
33,8,00000 1 10 100 1000 10000
33,9,000 1 10 100
33,10,00 1 10
33,11,0 1
34,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
34,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
